n;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted
28;11.396338701248169;11.396338701248169;11.396338701248169;8.219969749450684;8.219969749450684;8.219969749450684
29;11.635896444320679;11.635896444320679;11.635896444320679;10.045049667358398;10.045049667358398;10.045049667358398
30;12.117155313491821;12.117155313491821;12.117155313491821;10.15958547592163;10.15958547592163;10.15958547592163
31;13.945918083190918;13.945918083190918;13.945918083190918;12.492045164108276;12.492045164108276;12.492045164108276
32;19.846829652786255;19.846829652786255;19.846829652786255;12.759975910186768;12.759975910186768;12.759975910186768
33;23.133259534835815;23.133259534835815;23.133259534835815;12.850451946258545;12.850451946258545;12.850451946258545
34;23.13333821296692;23.13333821296692;23.13333821296692;18.84705924987793;18.84705924987793;18.84705924987793
35;23.198837518692017;23.198837518692017;23.198837518692017;21.319919109344482;21.319919109344482;21.319919109344482
36;24.567019939422607;24.567019939422607;24.567019939422607;21.93387508392334;21.93387508392334;21.93387508392334
37;25.969027519226074;25.969027519226074;25.969027519226074;22.983810424804688;22.983810424804688;22.983810424804688
38;26.62376356124878;26.62376356124878;26.62376356124878;24.138248205184937;24.138248205184937;24.138248205184937
39;26.96647024154663;26.96647024154663;26.96647024154663;24.922232151031494;24.922232151031494;24.922232151031494
40;29.044142961502075;29.044142961502075;29.044142961502075;25.328108072280884;25.328108072280884;25.328108072280884
41;33.565741777420044;33.565741777420044;33.565741777420044;29.50862407684326;29.50862407684326;29.50862407684326
42;42.26013398170471;42.26013398170471;42.26013398170471;33.76974010467529;33.76974010467529;33.76974010467529
43;46.49849843978882;46.49849843978882;46.49849843978882;39.68534469604492;39.68534469604492;39.68534469604492
44;55.14811706542969;55.14811706542969;55.14811706542969;44.29549741744995;44.29549741744995;44.29549741744995
45;60.469526052474976;60.469526052474976;60.469526052474976;53.61393761634827;53.61393761634827;53.61393761634827
46;61.77132225036621;61.77132225036621;61.77132225036621;55.254512548446655;55.254512548446655;55.254512548446655
47;61.816192626953125;61.816192626953125;61.816192626953125;60.6494300365448;60.6494300365448;60.6494300365448
48;83.69861578941345;83.69861578941345;83.69861578941345;62.87200951576233;62.87200951576233;62.87200951576233
49;111.23198866844177;111.23198866844177;111.23198866844177;63.16690683364868;63.16690683364868;63.16690683364868
50;120.38787984848022;120.38787984848022;120.38787984848022;79.01687121391296;79.01687121391296;79.01687121391296
51;148.83796000480652;148.83796000480652;148.83796000480652;113.87231206893921;113.87231206893921;113.87231206893921
52;179.66518425941467;179.66518425941467;179.66518425941467;120.4232223033905;120.4232223033905;120.4232223033905
53;263.37078833580017;263.37078833580017;263.37078833580017;149.65225505828857;149.65225505828857;149.65225505828857
54;379.62979555130005;379.62979555130005;379.62979555130005;180.4610435962677;180.4610435962677;180.4610435962677
55;381.7367424964905;381.7367424964905;381.7367424964905;264.89034962654114;264.89034962654114;264.89034962654114
56;631.8465120792389;631.8465120792389;631.8465120792389;362.5325975418091;362.5325975418091;362.5325975418091
57;1085.0439291000366;1085.0439291000366;1085.0439291000366;363.5332942008972;363.5332942008972;363.5332942008972
58;1256.3348574638367;1256.3348574638367;1256.3348574638367;608.996170759201;608.996170759201;608.996170759201
59;;;;1093.4530048370361;1093.4530048370361;1093.4530048370361
60;;;;1333.6585459709167;1333.6585459709167;1333.6585459709167
61;;;;;;
62;;;;;;
63;;;;;;
64;;;;;;
65;;;;;;
66;;;;;;
67;;;;;;
68;;;;;;
69;;;;;;
70;;;;;;
71;;;;;;
72;;;;;;
73;;;;;;
74;;;;;;
75;;;;;;
76;;;;;;
77;;;;;;
78;;;;;;
79;;;;;;
80;;;;;;
81;;;;;;
