n;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
53;149.65225505828857;149.65225505828857;149.65225505828857;263.37078833580017;263.37078833580017;263.37078833580017
54;180.4610435962677;180.4610435962677;180.4610435962677;379.62979555130005;379.62979555130005;379.62979555130005
55;264.89034962654114;264.89034962654114;264.89034962654114;381.7367424964905;381.7367424964905;381.7367424964905
56;362.5325975418091;362.5325975418091;362.5325975418091;631.8465120792389;631.8465120792389;631.8465120792389
57;363.5332942008972;363.5332942008972;363.5332942008972;1085.0439291000366;1085.0439291000366;1085.0439291000366
58;608.996170759201;608.996170759201;608.996170759201;1256.3348574638367;1256.3348574638367;1256.3348574638367
59;1093.4530048370361;1093.4530048370361;1093.4530048370361;;;
60;1333.6585459709167;1333.6585459709167;1333.6585459709167;;;
61;;;;;;
62;;;;;;
63;;;;;;
64;;;;;;
65;;;;;;
66;;;;;;
67;;;;;;
68;;;;;;
69;;;;;;
70;;;;;;
71;;;;;;
72;;;;;;
73;;;;;;
74;;;;;;
75;;;;;;
76;;;;;;
77;;;;;;
78;;;;;;
79;;;;;;
