n;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted;PRISM;PRISMscaled;PRISMshifted
26;156.24115753173828;156.24115753173828;156.24115753173828;10.38874101638794;10.38874101638794;10.38874101638794;71.9542944431305;71.9542944431305;71.9542944431305
27;165.61006808280945;165.61006808280945;165.61006808280945;11.700613737106323;11.700613737106323;11.700613737106323;98.83488297462463;98.83488297462463;98.83488297462463
28;173.1283814907074;173.1283814907074;173.1283814907074;15.637234687805176;15.637234687805176;15.637234687805176;99.87042617797852;99.87042617797852;99.87042617797852
29;200.14297103881836;200.14297103881836;200.14297103881836;18.395609378814697;18.395609378814697;18.395609378814697;110.75507307052612;110.75507307052612;110.75507307052612
30;288.6717462539673;288.6717462539673;288.6717462539673;20.685575485229492;20.685575485229492;20.685575485229492;118.59371542930603;118.59371542930603;118.59371542930603
31;295.01219177246094;295.01219177246094;295.01219177246094;22.788467407226562;22.788467407226562;22.788467407226562;121.16342735290527;121.16342735290527;121.16342735290527
32;337.367210149765;337.367210149765;337.367210149765;25.200990438461304;25.200990438461304;25.200990438461304;166.20431065559387;166.20431065559387;166.20431065559387
33;787.2704019546509;787.2704019546509;787.2704019546509;31.081514358520508;31.081514358520508;31.081514358520508;181.72536993026733;181.72536993026733;181.72536993026733
34;1409.2778446674347;1409.2778446674347;1409.2778446674347;33.39845132827759;33.39845132827759;33.39845132827759;213.5708451271057;213.5708451271057;213.5708451271057
35;;;;37.67688703536987;37.67688703536987;37.67688703536987;402.1419200897217;402.1419200897217;402.1419200897217
36;;;;38.52902007102966;38.52902007102966;38.52902007102966;547.5058174133301;547.5058174133301;547.5058174133301
37;;;;43.643831968307495;43.643831968307495;43.643831968307495;569.9991035461426;569.9991035461426;569.9991035461426
38;;;;62.66628384590149;62.66628384590149;62.66628384590149;1104.4370770454407;1104.4370770454407;1104.4370770454407
39;;;;74.63979363441467;74.63979363441467;74.63979363441467;;;
40;;;;116.69167304039001;116.69167304039001;116.69167304039001;;;
41;;;;242.87736129760742;242.87736129760742;242.87736129760742;;;
42;;;;568.3947517871857;568.3947517871857;568.3947517871857;;;
43;;;;;;;;;
