n;DFTRES;DFTRESscaled;DFTRESshifted;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;STAMINA;STAMINAscaled;STAMINAshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
25;;;;11.037872314453125;11.037872314453125;11.037872314453125;38.060200452804565;38.060200452804565;38.060200452804565;;;;48.433531761169434;48.433531761169434;48.433531761169434;;;;2.7393476963043213;2.7393476963043213;2.7393476963043213;3.718679904937744;3.718679904937744;3.718679904937744
26;;;;12.776201963424683;12.776201963424683;12.776201963424683;596.6457431316376;596.6457431316376;596.6457431316376;;;;53.32036519050598;53.32036519050598;53.32036519050598;;;;3.015622615814209;3.015622615814209;3.015622615814209;3.76371431350708;3.76371431350708;3.76371431350708
27;;;;13.170981407165527;13.170981407165527;13.170981407165527;1146.796303987503;1146.796303987503;1146.796303987503;;;;53.66657018661499;53.66657018661499;53.66657018661499;;;;3.5362820625305176;3.5362820625305176;3.5362820625305176;3.800344705581665;3.800344705581665;3.800344705581665
28;;;;13.938234329223633;13.938234329223633;13.938234329223633;;;;;;;58.88854765892029;58.88854765892029;58.88854765892029;;;;3.605030059814453;3.605030059814453;3.605030059814453;4.044528245925903;4.044528245925903;4.044528245925903
29;;;;14.444582462310791;14.444582462310791;14.444582462310791;;;;;;;64.97968029975891;64.97968029975891;64.97968029975891;;;;3.689378023147583;3.689378023147583;3.689378023147583;4.307504892349243;4.307504892349243;4.307504892349243
30;;;;14.974791526794434;14.974791526794434;14.974791526794434;;;;;;;67.76777148246765;67.76777148246765;67.76777148246765;;;;4.018651485443115;4.018651485443115;4.018651485443115;4.513299226760864;4.513299226760864;4.513299226760864
31;;;;14.978732585906982;14.978732585906982;14.978732585906982;;;;;;;67.7798490524292;67.7798490524292;67.7798490524292;;;;4.023967027664185;4.023967027664185;4.023967027664185;4.551382541656494;4.551382541656494;4.551382541656494
32;;;;17.927417278289795;17.927417278289795;17.927417278289795;;;;;;;71.9542944431305;71.9542944431305;71.9542944431305;;;;4.212693929672241;4.212693929672241;4.212693929672241;4.68962025642395;4.68962025642395;4.68962025642395
33;;;;18.35881209373474;18.35881209373474;18.35881209373474;;;;;;;84.7596263885498;84.7596263885498;84.7596263885498;;;;4.407823085784912;4.407823085784912;4.407823085784912;5.063380718231201;5.063380718231201;5.063380718231201
34;;;;20.518868923187256;20.518868923187256;20.518868923187256;;;;;;;85.18084716796875;85.18084716796875;85.18084716796875;;;;4.810188293457031;4.810188293457031;4.810188293457031;6.039976596832275;6.039976596832275;6.039976596832275
35;;;;21.593319416046143;21.593319416046143;21.593319416046143;;;;;;;98.83488297462463;98.83488297462463;98.83488297462463;;;;5.09431266784668;5.09431266784668;5.09431266784668;6.475464344024658;6.475464344024658;6.475464344024658
36;;;;23.118725538253784;23.118725538253784;23.118725538253784;;;;;;;99.87042617797852;99.87042617797852;99.87042617797852;;;;5.655471563339233;5.655471563339233;5.655471563339233;6.679159879684448;6.679159879684448;6.679159879684448
37;;;;24.842591285705566;24.842591285705566;24.842591285705566;;;;;;;110.75507307052612;110.75507307052612;110.75507307052612;;;;5.889367580413818;5.889367580413818;5.889367580413818;6.912035942077637;6.912035942077637;6.912035942077637
38;;;;29.053817987442017;29.053817987442017;29.053817987442017;;;;;;;118.59371542930603;118.59371542930603;118.59371542930603;;;;6.153059959411621;6.153059959411621;6.153059959411621;7.2423317432403564;7.2423317432403564;7.2423317432403564
39;;;;30.379965782165527;30.379965782165527;30.379965782165527;;;;;;;121.16342735290527;121.16342735290527;121.16342735290527;;;;6.521105527877808;6.521105527877808;6.521105527877808;8.609684467315674;8.609684467315674;8.609684467315674
40;;;;31.034785509109497;31.034785509109497;31.034785509109497;;;;;;;166.20431065559387;166.20431065559387;166.20431065559387;;;;6.5777201652526855;6.5777201652526855;6.5777201652526855;8.818049430847168;8.818049430847168;8.818049430847168
