n;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
67;;;;57.25772047042847;57.25772047042847;57.25772047042847;56.823638677597046;56.823638677597046;56.823638677597046
68;;;;57.4958279132843;57.4958279132843;57.4958279132843;57.753721952438354;57.753721952438354;57.753721952438354
69;;;;58.921613931655884;58.921613931655884;58.921613931655884;60.143861532211304;60.143861532211304;60.143861532211304
70;;;;62.66628384590149;62.66628384590149;62.66628384590149;62.99220252037048;62.99220252037048;62.99220252037048
71;;;;74.05376076698303;74.05376076698303;74.05376076698303;73.7836971282959;73.7836971282959;73.7836971282959
72;;;;74.63979363441467;74.63979363441467;74.63979363441467;76.42004060745239;76.42004060745239;76.42004060745239
73;;;;116.69167304039001;116.69167304039001;116.69167304039001;116.80796551704407;116.80796551704407;116.80796551704407
74;;;;242.87736129760742;242.87736129760742;242.87736129760742;242.6354639530182;242.6354639530182;242.6354639530182
75;;;;516.0725831985474;516.0725831985474;516.0725831985474;445.4874930381775;445.4874930381775;445.4874930381775
76;;;;568.3947517871857;568.3947517871857;568.3947517871857;522.7583940029144;522.7583940029144;522.7583940029144
77;;;;1446.4037601947784;1446.4037601947784;1446.4037601947784;1396.6023995876312;1396.6023995876312;1396.6023995876312
78;;;;;;;;;
79;;;;;;;;;
80;;;;;;;;;
81;;;;;;;;;
82;;;;;;;;;
83;;;;;;;;;
84;;;;;;;;;
85;;;;;;;;;
86;;;;;;;;;
