n;DFTRES;DFTRESscaled;DFTRESshifted;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;STAMINA;STAMINAscaled;STAMINAshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
19;;;;7.109309434890747;7.109309434890747;7.109309434890747;1.9752705097198486;1.9752705097198486;1.9752705097198486;;;;37.3440625667572;37.3440625667572;37.3440625667572;;;;9.050022602081299;9.050022602081299;9.050022602081299;2.199981689453125;2.199981689453125;2.199981689453125
20;;;;7.21002197265625;7.21002197265625;7.21002197265625;1.995056390762329;1.995056390762329;1.995056390762329;;;;42.178038120269775;42.178038120269775;42.178038120269775;;;;9.055410623550415;9.055410623550415;9.055410623550415;2.4011611938476562;2.4011611938476562;2.4011611938476562
21;;;;7.441452503204346;7.441452503204346;7.441452503204346;7.9360878467559814;7.9360878467559814;7.9360878467559814;;;;47.98578381538391;47.98578381538391;47.98578381538391;;;;9.292776823043823;9.292776823043823;9.292776823043823;2.693235397338867;2.693235397338867;2.693235397338867
22;;;;7.495607137680054;7.495607137680054;7.495607137680054;19.1947078704834;19.1947078704834;19.1947078704834;;;;52.864051818847656;52.864051818847656;52.864051818847656;;;;9.500243186950684;9.500243186950684;9.500243186950684;2.749669075012207;2.749669075012207;2.749669075012207
23;;;;7.515087604522705;7.515087604522705;7.515087604522705;25.797722339630127;25.797722339630127;25.797722339630127;;;;53.74776077270508;53.74776077270508;53.74776077270508;;;;10.06827163696289;10.06827163696289;10.06827163696289;2.9509332180023193;2.9509332180023193;2.9509332180023193
24;;;;10.14117980003357;10.14117980003357;10.14117980003357;35.169140577316284;35.169140577316284;35.169140577316284;;;;53.76103711128235;53.76103711128235;53.76103711128235;;;;10.372932434082031;10.372932434082031;10.372932434082031;3.397376775741577;3.397376775741577;3.397376775741577
25;;;;12.776201963424683;12.776201963424683;12.776201963424683;38.060200452804565;38.060200452804565;38.060200452804565;;;;59.02464556694031;59.02464556694031;59.02464556694031;;;;12.851221084594727;12.851221084594727;12.851221084594727;3.718679904937744;3.718679904937744;3.718679904937744
26;;;;13.170981407165527;13.170981407165527;13.170981407165527;596.6457431316376;596.6457431316376;596.6457431316376;;;;60.44081401824951;60.44081401824951;60.44081401824951;;;;14.844897985458374;14.844897985458374;14.844897985458374;3.76371431350708;3.76371431350708;3.76371431350708
27;;;;13.938234329223633;13.938234329223633;13.938234329223633;1146.796303987503;1146.796303987503;1146.796303987503;;;;65.40729665756226;65.40729665756226;65.40729665756226;;;;15.45097279548645;15.45097279548645;15.45097279548645;3.800344705581665;3.800344705581665;3.800344705581665
28;;;;14.444582462310791;14.444582462310791;14.444582462310791;;;;;;;66.10915565490723;66.10915565490723;66.10915565490723;;;;15.493448734283447;15.493448734283447;15.493448734283447;4.044528245925903;4.044528245925903;4.044528245925903
