n;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
11;34.61443734169006;34.61443734169006;34.61443734169006;1.3885276317596436;1.3885276317596436;1.3885276317596436;37.3440625667572;37.3440625667572;37.3440625667572;90.2938928604126;90.2938928604126;90.2938928604126;4.044528245925903;4.044528245925903;4.044528245925903
12;78.92872262001038;78.92872262001038;78.92872262001038;1.5322930812835693;1.5322930812835693;1.5322930812835693;42.178038120269775;42.178038120269775;42.178038120269775;99.27868247032166;99.27868247032166;99.27868247032166;4.307504892349243;4.307504892349243;4.307504892349243
13;165.61006808280945;165.61006808280945;165.61006808280945;1.5865931510925293;1.5865931510925293;1.5865931510925293;47.98578381538391;47.98578381538391;47.98578381538391;115.01229310035706;115.01229310035706;115.01229310035706;4.513299226760864;4.513299226760864;4.513299226760864
14;185.40929579734802;185.40929579734802;185.40929579734802;1.6191112995147705;1.6191112995147705;1.6191112995147705;53.76103711128235;53.76103711128235;53.76103711128235;116.69167304039001;116.69167304039001;116.69167304039001;4.68962025642395;4.68962025642395;4.68962025642395
15;294.46830773353577;294.46830773353577;294.46830773353577;1.632643222808838;1.632643222808838;1.632643222808838;72.18304753303528;72.18304753303528;72.18304753303528;186.33288264274597;186.33288264274597;186.33288264274597;8.609684467315674;8.609684467315674;8.609684467315674
16;337.367210149765;337.367210149765;337.367210149765;1.6924643516540527;1.6924643516540527;1.6924643516540527;84.61483645439148;84.61483645439148;84.61483645439148;187.31530928611755;187.31530928611755;187.31530928611755;10.40230393409729;10.40230393409729;10.40230393409729
17;1799.6424236297607;1799.6424236297607;1799.6424236297607;1.7370505332946777;1.7370505332946777;1.7370505332946777;84.80553030967712;84.80553030967712;84.80553030967712;191.36507272720337;191.36507272720337;191.36507272720337;16.491640329360962;16.491640329360962;16.491640329360962
18;;;;1.8155770301818848;1.8155770301818848;1.8155770301818848;96.88759970664978;96.88759970664978;96.88759970664978;193.17824006080627;193.17824006080627;193.17824006080627;24.77476143836975;24.77476143836975;24.77476143836975
19;;;;1.9752705097198486;1.9752705097198486;1.9752705097198486;100.0719313621521;100.0719313621521;100.0719313621521;193.34556484222412;193.34556484222412;193.34556484222412;26.026153564453125;26.026153564453125;26.026153564453125
20;;;;1.995056390762329;1.995056390762329;1.995056390762329;239.92904829978943;239.92904829978943;239.92904829978943;242.87736129760742;242.87736129760742;242.87736129760742;27.561355113983154;27.561355113983154;27.561355113983154
