n;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
15;288.6717462539673;288.6717462539673;288.6717462539673;1.632643222808838;1.632643222808838;1.632643222808838;37.32469201087952;37.32469201087952;37.32469201087952;4.810188293457031;4.810188293457031;4.810188293457031;8.609684467315674;8.609684467315674;8.609684467315674
16;337.367210149765;337.367210149765;337.367210149765;1.6924643516540527;1.6924643516540527;1.6924643516540527;39.76050043106079;39.76050043106079;39.76050043106079;7.821901559829712;7.821901559829712;7.821901559829712;10.40230393409729;10.40230393409729;10.40230393409729
17;1320.1117858886719;1320.1117858886719;1320.1117858886719;1.7370505332946777;1.7370505332946777;1.7370505332946777;48.433531761169434;48.433531761169434;48.433531761169434;12.359553337097168;12.359553337097168;12.359553337097168;16.491640329360962;16.491640329360962;16.491640329360962
18;1409.2778446674347;1409.2778446674347;1409.2778446674347;1.8155770301818848;1.8155770301818848;1.8155770301818848;71.9542944431305;71.9542944431305;71.9542944431305;15.637234687805176;15.637234687805176;15.637234687805176;24.77476143836975;24.77476143836975;24.77476143836975
19;;;;1.9752705097198486;1.9752705097198486;1.9752705097198486;84.7596263885498;84.7596263885498;84.7596263885498;22.788467407226562;22.788467407226562;22.788467407226562;26.026153564453125;26.026153564453125;26.026153564453125
20;;;;1.995056390762329;1.995056390762329;1.995056390762329;85.18084716796875;85.18084716796875;85.18084716796875;27.998619556427002;27.998619556427002;27.998619556427002;27.561355113983154;27.561355113983154;27.561355113983154
21;;;;7.9360878467559814;7.9360878467559814;7.9360878467559814;98.83488297462463;98.83488297462463;98.83488297462463;33.39845132827759;33.39845132827759;33.39845132827759;35.61362910270691;35.61362910270691;35.61362910270691
22;;;;19.1947078704834;19.1947078704834;19.1947078704834;181.72536993026733;181.72536993026733;181.72536993026733;62.66628384590149;62.66628384590149;62.66628384590149;62.99220252037048;62.99220252037048;62.99220252037048
23;;;;25.797722339630127;25.797722339630127;25.797722339630127;569.9991035461426;569.9991035461426;569.9991035461426;74.05376076698303;74.05376076698303;74.05376076698303;76.42004060745239;76.42004060745239;76.42004060745239
24;;;;35.169140577316284;35.169140577316284;35.169140577316284;1104.4370770454407;1104.4370770454407;1104.4370770454407;100.01138091087341;100.01138091087341;100.01138091087341;102.72332310676575;102.72332310676575;102.72332310676575
25;;;;38.060200452804565;38.060200452804565;38.060200452804565;;;;116.69167304039001;116.69167304039001;116.69167304039001;116.80796551704407;116.80796551704407;116.80796551704407
26;;;;596.6457431316376;596.6457431316376;596.6457431316376;;;;193.17824006080627;193.17824006080627;193.17824006080627;210.014741897583;210.014741897583;210.014741897583
27;;;;1146.796303987503;1146.796303987503;1146.796303987503;;;;193.34556484222412;193.34556484222412;193.34556484222412;210.07728958129883;210.07728958129883;210.07728958129883
28;;;;;;;;;;233.2560749053955;233.2560749053955;233.2560749053955;238.02136516571045;238.02136516571045;238.02136516571045
29;;;;;;;;;;242.87736129760742;242.87736129760742;242.87736129760742;242.6354639530182;242.6354639530182;242.6354639530182
30;;;;;;;;;;568.3947517871857;568.3947517871857;568.3947517871857;445.4874930381775;445.4874930381775;445.4874930381775
31;;;;;;;;;;820.21138048172;820.21138048172;820.21138048172;616.8096361160278;616.8096361160278;616.8096361160278
32;;;;;;;;;;1446.4037601947784;1446.4037601947784;1446.4037601947784;1396.6023995876312;1396.6023995876312;1396.6023995876312
33;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;
