n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
23;829.2652363777161;829.2652363777161;829.2652363777161;136.16869854927063;136.16869854927063;136.16869854927063;47.4275860786438;47.4275860786438;47.4275860786438;6.0522401332855225;6.0522401332855225;6.0522401332855225;8.605183124542236;8.605183124542236;8.605183124542236
24;877.6498515605927;877.6498515605927;877.6498515605927;173.54415917396545;173.54415917396545;173.54415917396545;57.005592823028564;57.005592823028564;57.005592823028564;7.530953407287598;7.530953407287598;7.530953407287598;8.822865724563599;8.822865724563599;8.822865724563599
25;1167.08739900589;1167.08739900589;1167.08739900589;197.91679525375366;197.91679525375366;197.91679525375366;64.08557724952698;64.08557724952698;64.08557724952698;7.942528247833252;7.942528247833252;7.942528247833252;14.526547908782959;14.526547908782959;14.526547908782959
26;1319.3012199401855;1319.3012199401855;1319.3012199401855;248.58886337280273;248.58886337280273;248.58886337280273;64.97881865501404;64.97881865501404;64.97881865501404;13.464123487472534;13.464123487472534;13.464123487472534;16.54027271270752;16.54027271270752;16.54027271270752
27;;;;292.29004740715027;292.29004740715027;292.29004740715027;65.42552495002747;65.42552495002747;65.42552495002747;15.528366327285767;15.528366327285767;15.528366327285767;17.32126760482788;17.32126760482788;17.32126760482788
28;;;;299.79538893699646;299.79538893699646;299.79538893699646;67.3196051120758;67.3196051120758;67.3196051120758;15.811761379241943;15.811761379241943;15.811761379241943;19.423076629638672;19.423076629638672;19.423076629638672
29;;;;554.3715498447418;554.3715498447418;554.3715498447418;91.473153591156;91.473153591156;91.473153591156;20.642104864120483;20.642104864120483;20.642104864120483;20.77903938293457;20.77903938293457;20.77903938293457
30;;;;788.1266028881073;788.1266028881073;788.1266028881073;95.56758618354797;95.56758618354797;95.56758618354797;20.71578359603882;20.71578359603882;20.71578359603882;23.670626878738403;23.670626878738403;23.670626878738403
31;;;;1433.4535908699036;1433.4535908699036;1433.4535908699036;96.93561959266663;96.93561959266663;96.93561959266663;23.80597162246704;23.80597162246704;23.80597162246704;26.02415657043457;26.02415657043457;26.02415657043457
32;;;;;;;99.64679265022278;99.64679265022278;99.64679265022278;31.299440145492554;31.299440145492554;31.299440145492554;32.29943537712097;32.29943537712097;32.29943537712097
33;;;;;;;99.85981130599976;99.85981130599976;99.85981130599976;31.525105476379395;31.525105476379395;31.525105476379395;32.46374273300171;32.46374273300171;32.46374273300171
34;;;;;;;147.040429353714;147.040429353714;147.040429353714;32.444220542907715;32.444220542907715;32.444220542907715;34.00934982299805;34.00934982299805;34.00934982299805
35;;;;;;;185.84221267700195;185.84221267700195;185.84221267700195;34.1780846118927;34.1780846118927;34.1780846118927;34.5739164352417;34.5739164352417;34.5739164352417
36;;;;;;;186.17752933502197;186.17752933502197;186.17752933502197;43.639577865600586;43.639577865600586;43.639577865600586;45.686034202575684;45.686034202575684;45.686034202575684
37;;;;;;;240.73267245292664;240.73267245292664;240.73267245292664;49.87902021408081;49.87902021408081;49.87902021408081;53.05412244796753;53.05412244796753;53.05412244796753
38;;;;;;;542.9539442062378;542.9539442062378;542.9539442062378;74.1528058052063;74.1528058052063;74.1528058052063;73.49217557907104;73.49217557907104;73.49217557907104
39;;;;;;;634.2974512577057;634.2974512577057;634.2974512577057;120.61619734764099;120.61619734764099;120.61619734764099;119.04714965820312;119.04714965820312;119.04714965820312
40;;;;;;;;;;126.30804967880249;126.30804967880249;126.30804967880249;125.93564033508301;125.93564033508301;125.93564033508301
41;;;;;;;;;;186.26891350746155;186.26891350746155;186.26891350746155;153.45935201644897;153.45935201644897;153.45935201644897
