n;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;mcsta;mcstascaled;mcstashifted;PRISM;PRISMscaled;PRISMshifted;PRISM-TUM;PRISM-TUMscaled;PRISM-TUMshifted;modes;modesscaled;modesshifted;STAMINA;STAMINAscaled;STAMINAshifted;DFTRES;DFTRESscaled;DFTRESshifted;ModestFRETpiLRTDP;ModestFRETpiLRTDPscaled;ModestFRETpiLRTDPshifted;ePMC;ePMCscaled;ePMCshifted;ePMC-6;ePMC-6scaled;ePMC-6shifted
26;3.724867343902588;3.724867343902588;3.724867343902588;2.835864543914795;2.835864543914795;2.835864543914795;14.642618894577026;14.642618894577026;14.642618894577026;21.742945194244385;21.742945194244385;21.742945194244385;;;;;;;;;;;;;;;;;;;426.56995391845703;426.56995391845703;426.56995391845703
27;3.7315237522125244;3.7315237522125244;3.7315237522125244;3.198568105697632;3.198568105697632;3.198568105697632;15.878494501113892;15.878494501113892;15.878494501113892;23.40638279914856;23.40638279914856;23.40638279914856;;;;;;;;;;;;;;;;;;;522.0889558792114;522.0889558792114;522.0889558792114
28;3.8108909130096436;3.8108909130096436;3.8108909130096436;3.2890472412109375;3.2890472412109375;3.2890472412109375;17.623847723007202;17.623847723007202;17.623847723007202;27.509225606918335;27.509225606918335;27.509225606918335;;;;;;;;;;;;;;;;;;;829.2652363777161;829.2652363777161;829.2652363777161
29;4.200374364852905;4.200374364852905;4.200374364852905;3.6693572998046875;3.6693572998046875;3.6693572998046875;19.199933528900146;19.199933528900146;19.199933528900146;27.78049063682556;27.78049063682556;27.78049063682556;;;;;;;;;;;;;;;;;;;877.6498515605927;877.6498515605927;877.6498515605927
30;4.516379117965698;4.516379117965698;4.516379117965698;3.711729049682617;3.711729049682617;3.711729049682617;19.373580932617188;19.373580932617188;19.373580932617188;30.435271739959717;30.435271739959717;30.435271739959717;;;;;;;;;;;;;;;;;;;1167.08739900589;1167.08739900589;1167.08739900589
31;4.716279983520508;4.716279983520508;4.716279983520508;3.728604316711426;3.728604316711426;3.728604316711426;20.75012493133545;20.75012493133545;20.75012493133545;37.27697396278381;37.27697396278381;37.27697396278381;;;;;;;;;;;;;;;;;;;1319.3012199401855;1319.3012199401855;1319.3012199401855
32;4.885735034942627;4.885735034942627;4.885735034942627;4.56065821647644;4.56065821647644;4.56065821647644;24.108980894088745;24.108980894088745;24.108980894088745;37.40601205825806;37.40601205825806;37.40601205825806;;;;;;;;;;;;;;;;;;;;;
33;5.794644594192505;5.794644594192505;5.794644594192505;4.847686529159546;4.847686529159546;4.847686529159546;24.88311743736267;24.88311743736267;24.88311743736267;38.80923652648926;38.80923652648926;38.80923652648926;;;;;;;;;;;;;;;;;;;;;
34;6.063857316970825;6.063857316970825;6.063857316970825;4.903221607208252;4.903221607208252;4.903221607208252;25.04800844192505;25.04800844192505;25.04800844192505;42.4298939704895;42.4298939704895;42.4298939704895;;;;;;;;;;;;;;;;;;;;;
35;6.330239295959473;6.330239295959473;6.330239295959473;5.371433973312378;5.371433973312378;5.371433973312378;25.334521532058716;25.334521532058716;25.334521532058716;47.4275860786438;47.4275860786438;47.4275860786438;;;;;;;;;;;;;;;;;;;;;
36;6.631868124008179;6.631868124008179;6.631868124008179;5.663889408111572;5.663889408111572;5.663889408111572;28.958747386932373;28.958747386932373;28.958747386932373;51.352051734924316;51.352051734924316;51.352051734924316;;;;;;;;;;;;;;;;;;;;;
37;6.691576242446899;6.691576242446899;6.691576242446899;5.711490869522095;5.711490869522095;5.711490869522095;29.431943893432617;29.431943893432617;29.431943893432617;52.31505632400513;52.31505632400513;52.31505632400513;;;;;;;;;;;;;;;;;;;;;
38;7.005172967910767;7.005172967910767;7.005172967910767;5.978857517242432;5.978857517242432;5.978857517242432;30.964380502700806;30.964380502700806;30.964380502700806;57.005592823028564;57.005592823028564;57.005592823028564;;;;;;;;;;;;;;;;;;;;;
39;7.901549577713013;7.901549577713013;7.901549577713013;6.0522401332855225;6.0522401332855225;6.0522401332855225;31.035571575164795;31.035571575164795;31.035571575164795;60.096088886260986;60.096088886260986;60.096088886260986;;;;;;;;;;;;;;;;;;;;;
40;8.605183124542236;8.605183124542236;8.605183124542236;6.312912464141846;6.312912464141846;6.312912464141846;37.32885766029358;37.32885766029358;37.32885766029358;60.25276756286621;60.25276756286621;60.25276756286621;;;;;;;;;;;;;;;;;;;;;
41;8.822865724563599;8.822865724563599;8.822865724563599;7.530953407287598;7.530953407287598;7.530953407287598;46.398547887802124;46.398547887802124;46.398547887802124;64.08557724952698;64.08557724952698;64.08557724952698;;;;;;;;;;;;;;;;;;;;;
42;8.883005619049072;8.883005619049072;8.883005619049072;7.895191431045532;7.895191431045532;7.895191431045532;51.47614073753357;51.47614073753357;51.47614073753357;64.97881865501404;64.97881865501404;64.97881865501404;;;;;;;;;;;;;;;;;;;;;
43;9.176542520523071;9.176542520523071;9.176542520523071;7.942528247833252;7.942528247833252;7.942528247833252;63.266063928604126;63.266063928604126;63.266063928604126;65.42552495002747;65.42552495002747;65.42552495002747;;;;;;;;;;;;;;;;;;;;;
44;11.017869472503662;11.017869472503662;11.017869472503662;8.989420175552368;8.989420175552368;8.989420175552368;76.84921026229858;76.84921026229858;76.84921026229858;67.3196051120758;67.3196051120758;67.3196051120758;;;;;;;;;;;;;;;;;;;;;
45;12.294154405593872;12.294154405593872;12.294154405593872;9.297359704971313;9.297359704971313;9.297359704971313;81.24693274497986;81.24693274497986;81.24693274497986;91.473153591156;91.473153591156;91.473153591156;;;;;;;;;;;;;;;;;;;;;
