n;DFTRES;DFTRESscaled;DFTRESshifted;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;ModestFRETpiLRTDP;ModestFRETpiLRTDPscaled;ModestFRETpiLRTDPshifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;STAMINA;STAMINAscaled;STAMINAshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
11;;;;93.35506010055542;93.35506010055542;93.35506010055542;4.363117456436157;4.363117456436157;4.363117456436157;300.26718401908875;300.26718401908875;300.26718401908875;112.6804678440094;112.6804678440094;112.6804678440094;;;;8.910725116729736;8.910725116729736;8.910725116729736;;;;1.4592525959014893;1.4592525959014893;1.4592525959014893;0.3787095546722412;0.6510477860808958;1.0
12;;;;93.61200714111328;93.61200714111328;93.61200714111328;4.468922138214111;4.468922138214111;4.468922138214111;428.6573052406311;428.6573052406311;428.6573052406311;;;;;;;10.2262864112854;10.2262864112854;10.2262864112854;;;;2.243938684463501;2.243938684463501;2.243938684463501;0.48480820655822754;0.7005553627877511;1.0
13;;;;95.0761833190918;95.0761833190918;95.0761833190918;4.882536888122559;4.882536888122559;4.882536888122559;871.3053133487701;871.3053133487701;871.3053133487701;;;;;;;11.515100240707397;11.515100240707397;11.515100240707397;;;;2.6911981105804443;2.6911981105804443;2.6911981105804443;0.9487230777740479;0.9651991334550568;1.0
14;;;;129.5570089817047;129.5570089817047;129.5570089817047;5.541377305984497;5.541377305984497;5.541377305984497;1040.465175151825;1040.465175151825;1040.465175151825;;;;;;;11.540806293487549;11.540806293487549;11.540806293487549;;;;3.3916406631469727;3.3916406631469727;3.3916406631469727;1.4549946784973145;1.4549946784973145;1.4549946784973145
15;;;;167.5735867023468;167.5735867023468;167.5735867023468;5.950003385543823;5.950003385543823;5.950003385543823;1187.2745399475098;1187.2745399475098;1187.2745399475098;;;;;;;12.952099561691284;12.952099561691284;12.952099561691284;;;;3.711729049682617;3.711729049682617;3.711729049682617;1.5130267143249512;1.5130267143249512;1.5130267143249512
16;;;;167.82634019851685;167.82634019851685;167.82634019851685;6.658794164657593;6.658794164657593;6.658794164657593;1208.5479717254639;1208.5479717254639;1208.5479717254639;;;;;;;14.65919041633606;14.65919041633606;14.65919041633606;;;;4.280115604400635;4.280115604400635;4.280115604400635;1.9226794242858887;1.9226794242858887;1.9226794242858887
17;;;;177.15648555755615;177.15648555755615;177.15648555755615;7.0185158252716064;7.0185158252716064;7.0185158252716064;1259.660579442978;1259.660579442978;1259.660579442978;;;;;;;14.925920009613037;14.925920009613037;14.925920009613037;;;;4.341279983520508;4.341279983520508;4.341279983520508;1.9974346160888672;1.9974346160888672;1.9974346160888672
18;;;;178.9294502735138;178.9294502735138;178.9294502735138;7.495967864990234;7.495967864990234;7.495967864990234;1406.6142647266388;1406.6142647266388;1406.6142647266388;;;;;;;15.936527252197266;15.936527252197266;15.936527252197266;;;;7.895191431045532;7.895191431045532;7.895191431045532;2.186258554458618;2.186258554458618;2.186258554458618
19;;;;231.74307131767273;231.74307131767273;231.74307131767273;7.530000448226929;7.530000448226929;7.530000448226929;1475.5086421966553;1475.5086421966553;1475.5086421966553;;;;;;;17.521067142486572;17.521067142486572;17.521067142486572;;;;8.989420175552368;8.989420175552368;8.989420175552368;2.2007222175598145;2.2007222175598145;2.2007222175598145
20;;;;237.59037852287292;237.59037852287292;237.59037852287292;7.807526111602783;7.807526111602783;7.807526111602783;;;;;;;;;;17.848053693771362;17.848053693771362;17.848053693771362;;;;9.297359704971313;9.297359704971313;9.297359704971313;2.2787680625915527;2.2787680625915527;2.2787680625915527
