n;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
36;30.964380502700806;30.964380502700806;30.964380502700806;32.444220542907715;32.444220542907715;32.444220542907715;6.691576242446899;6.691576242446899;6.691576242446899
37;31.035571575164795;31.035571575164795;31.035571575164795;33.79242920875549;33.79242920875549;33.79242920875549;7.005172967910767;7.005172967910767;7.005172967910767
38;31.335333108901978;31.335333108901978;31.335333108901978;34.1780846118927;34.1780846118927;34.1780846118927;7.901549577713013;7.901549577713013;7.901549577713013
39;37.32885766029358;37.32885766029358;37.32885766029358;36.72918152809143;36.72918152809143;36.72918152809143;8.605183124542236;8.605183124542236;8.605183124542236
40;46.398547887802124;46.398547887802124;46.398547887802124;37.73813796043396;37.73813796043396;37.73813796043396;8.822865724563599;8.822865724563599;8.822865724563599
41;51.47614073753357;51.47614073753357;51.47614073753357;39.51769757270813;39.51769757270813;39.51769757270813;8.883005619049072;8.883005619049072;8.883005619049072
42;63.266063928604126;63.266063928604126;63.266063928604126;44.84270930290222;44.84270930290222;44.84270930290222;9.176542520523071;9.176542520523071;9.176542520523071
43;76.84921026229858;76.84921026229858;76.84921026229858;45.865715742111206;45.865715742111206;45.865715742111206;11.017869472503662;11.017869472503662;11.017869472503662
44;81.24693274497986;81.24693274497986;81.24693274497986;45.90375065803528;45.90375065803528;45.90375065803528;14.526547908782959;14.526547908782959;14.526547908782959
45;82.08800458908081;82.08800458908081;82.08800458908081;46.4829204082489;46.4829204082489;46.4829204082489;16.54027271270752;16.54027271270752;16.54027271270752
46;96.99260330200195;96.99260330200195;96.99260330200195;51.19405913352966;51.19405913352966;51.19405913352966;17.32126760482788;17.32126760482788;17.32126760482788
47;104.70440745353699;104.70440745353699;104.70440745353699;56.88949704170227;56.88949704170227;56.88949704170227;19.423076629638672;19.423076629638672;19.423076629638672
48;136.16869854927063;136.16869854927063;136.16869854927063;57.177348613739014;57.177348613739014;57.177348613739014;20.77903938293457;20.77903938293457;20.77903938293457
49;143.41166067123413;143.41166067123413;143.41166067123413;57.18780016899109;57.18780016899109;57.18780016899109;22.949683904647827;22.949683904647827;22.949683904647827
50;155.36040258407593;155.36040258407593;155.36040258407593;57.383718967437744;57.383718967437744;57.383718967437744;23.670626878738403;23.670626878738403;23.670626878738403
51;162.45264649391174;162.45264649391174;162.45264649391174;57.92487025260925;57.92487025260925;57.92487025260925;25.82897114753723;25.82897114753723;25.82897114753723
52;173.54415917396545;173.54415917396545;173.54415917396545;58.92658519744873;58.92658519744873;58.92658519744873;26.02415657043457;26.02415657043457;26.02415657043457
53;188.08399486541748;188.08399486541748;188.08399486541748;72.52559161186218;72.52559161186218;72.52559161186218;27.95629072189331;27.95629072189331;27.95629072189331
54;248.58886337280273;248.58886337280273;248.58886337280273;88.89722752571106;88.89722752571106;88.89722752571106;28.186004877090454;28.186004877090454;28.186004877090454
55;287.81885743141174;287.81885743141174;287.81885743141174;114.9733829498291;114.9733829498291;114.9733829498291;29.184969186782837;29.184969186782837;29.184969186782837
56;299.79538893699646;299.79538893699646;299.79538893699646;120.61619734764099;120.61619734764099;120.61619734764099;29.750993251800537;29.750993251800537;29.750993251800537
57;401.94560527801514;401.94560527801514;401.94560527801514;126.30804967880249;126.30804967880249;126.30804967880249;32.29943537712097;32.29943537712097;32.29943537712097
58;554.3715498447418;554.3715498447418;554.3715498447418;152.9982078075409;152.9982078075409;152.9982078075409;32.46374273300171;32.46374273300171;32.46374273300171
59;788.1266028881073;788.1266028881073;788.1266028881073;157.68322658538818;157.68322658538818;157.68322658538818;34.00934982299805;34.00934982299805;34.00934982299805
60;1796.9028866291046;1796.9028866291046;1796.9028866291046;183.7072069644928;183.7072069644928;183.7072069644928;34.5739164352417;34.5739164352417;34.5739164352417
61;;;;185.3034143447876;185.3034143447876;185.3034143447876;37.9644033908844;37.9644033908844;37.9644033908844
62;;;;186.30844974517822;186.30844974517822;186.30844974517822;45.686034202575684;45.686034202575684;45.686034202575684
63;;;;275.10556173324585;275.10556173324585;275.10556173324585;46.0592987537384;46.0592987537384;46.0592987537384
64;;;;275.1262061595917;275.1262061595917;275.1262061595917;46.22454047203064;46.22454047203064;46.22454047203064
65;;;;463.17513632774353;463.17513632774353;463.17513632774353;46.3243293762207;46.3243293762207;46.3243293762207
