n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;PRISM;PRISMscaled;PRISMshifted
11;176.73462772369385;176.73462772369385;176.73462772369385;7.807526111602783;7.807526111602783;7.807526111602783;2.985177755355835;2.985177755355835;2.985177755355835;2.5337255001068115;2.5337255001068115;2.5337255001068115;11.496192216873169;11.496192216873169;11.496192216873169
12;177.70716762542725;177.70716762542725;177.70716762542725;12.376911401748657;12.376911401748657;12.376911401748657;3.432474374771118;3.432474374771118;3.432474374771118;2.7959890365600586;2.7959890365600586;2.7959890365600586;14.64310908317566;14.64310908317566;14.64310908317566
13;215.66537404060364;215.66537404060364;215.66537404060364;14.642618894577026;14.642618894577026;14.642618894577026;3.677351474761963;3.677351474761963;3.677351474761963;2.835864543914795;2.835864543914795;2.835864543914795;14.90687608718872;14.90687608718872;14.90687608718872
14;352.29078555107117;352.29078555107117;352.29078555107117;15.878494501113892;15.878494501113892;15.878494501113892;3.724867343902588;3.724867343902588;3.724867343902588;3.2890472412109375;3.2890472412109375;3.2890472412109375;16.01056933403015;16.01056933403015;16.01056933403015
15;477.92209553718567;477.92209553718567;477.92209553718567;17.623847723007202;17.623847723007202;17.623847723007202;3.7315237522125244;3.7315237522125244;3.7315237522125244;3.6693572998046875;3.6693572998046875;3.6693572998046875;17.481777906417847;17.481777906417847;17.481777906417847
16;601.3485345840454;601.3485345840454;601.3485345840454;24.88311743736267;24.88311743736267;24.88311743736267;3.8108909130096436;3.8108909130096436;3.8108909130096436;3.711729049682617;3.711729049682617;3.711729049682617;17.845696926116943;17.845696926116943;17.845696926116943
17;816.1197836399078;816.1197836399078;816.1197836399078;30.964380502700806;30.964380502700806;30.964380502700806;4.885735034942627;4.885735034942627;4.885735034942627;3.728604316711426;3.728604316711426;3.728604316711426;21.588765382766724;21.588765382766724;21.588765382766724
18;993.5482563972473;993.5482563972473;993.5482563972473;37.32885766029358;37.32885766029358;37.32885766029358;5.794644594192505;5.794644594192505;5.794644594192505;4.56065821647644;4.56065821647644;4.56065821647644;21.742945194244385;21.742945194244385;21.742945194244385
19;;;;51.47614073753357;51.47614073753357;51.47614073753357;6.063857316970825;6.063857316970825;6.063857316970825;5.371433973312378;5.371433973312378;5.371433973312378;27.509225606918335;27.509225606918335;27.509225606918335
20;;;;82.08800458908081;82.08800458908081;82.08800458908081;6.330239295959473;6.330239295959473;6.330239295959473;5.663889408111572;5.663889408111572;5.663889408111572;37.40601205825806;37.40601205825806;37.40601205825806
21;;;;96.99260330200195;96.99260330200195;96.99260330200195;6.631868124008179;6.631868124008179;6.631868124008179;5.711490869522095;5.711490869522095;5.711490869522095;38.80923652648926;38.80923652648926;38.80923652648926
22;;;;104.70440745353699;104.70440745353699;104.70440745353699;6.691576242446899;6.691576242446899;6.691576242446899;5.978857517242432;5.978857517242432;5.978857517242432;42.4298939704895;42.4298939704895;42.4298939704895
23;;;;136.16869854927063;136.16869854927063;136.16869854927063;8.605183124542236;8.605183124542236;8.605183124542236;6.0522401332855225;6.0522401332855225;6.0522401332855225;47.4275860786438;47.4275860786438;47.4275860786438
24;;;;173.54415917396545;173.54415917396545;173.54415917396545;8.822865724563599;8.822865724563599;8.822865724563599;7.530953407287598;7.530953407287598;7.530953407287598;57.005592823028564;57.005592823028564;57.005592823028564
25;;;;197.91679525375366;197.91679525375366;197.91679525375366;14.526547908782959;14.526547908782959;14.526547908782959;7.942528247833252;7.942528247833252;7.942528247833252;64.08557724952698;64.08557724952698;64.08557724952698
26;;;;248.58886337280273;248.58886337280273;248.58886337280273;16.54027271270752;16.54027271270752;16.54027271270752;13.464123487472534;13.464123487472534;13.464123487472534;64.97881865501404;64.97881865501404;64.97881865501404
