n;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
38;31.035571575164795;31.035571575164795;31.035571575164795;6.312912464141846;6.312912464141846;6.312912464141846;7.901549577713013;7.901549577713013;7.901549577713013
39;37.32885766029358;37.32885766029358;37.32885766029358;7.530953407287598;7.530953407287598;7.530953407287598;8.605183124542236;8.605183124542236;8.605183124542236
40;46.398547887802124;46.398547887802124;46.398547887802124;7.895191431045532;7.895191431045532;7.895191431045532;8.822865724563599;8.822865724563599;8.822865724563599
41;51.47614073753357;51.47614073753357;51.47614073753357;7.942528247833252;7.942528247833252;7.942528247833252;8.883005619049072;8.883005619049072;8.883005619049072
42;63.266063928604126;63.266063928604126;63.266063928604126;8.989420175552368;8.989420175552368;8.989420175552368;9.176542520523071;9.176542520523071;9.176542520523071
43;76.84921026229858;76.84921026229858;76.84921026229858;9.297359704971313;9.297359704971313;9.297359704971313;11.017869472503662;11.017869472503662;11.017869472503662
44;81.24693274497986;81.24693274497986;81.24693274497986;11.066964626312256;11.066964626312256;11.066964626312256;14.526547908782959;14.526547908782959;14.526547908782959
45;82.08800458908081;82.08800458908081;82.08800458908081;13.464123487472534;13.464123487472534;13.464123487472534;16.54027271270752;16.54027271270752;16.54027271270752
46;96.99260330200195;96.99260330200195;96.99260330200195;15.528366327285767;15.528366327285767;15.528366327285767;17.32126760482788;17.32126760482788;17.32126760482788
47;104.70440745353699;104.70440745353699;104.70440745353699;15.811761379241943;15.811761379241943;15.811761379241943;19.423076629638672;19.423076629638672;19.423076629638672
48;136.16869854927063;136.16869854927063;136.16869854927063;20.642104864120483;20.642104864120483;20.642104864120483;20.77903938293457;20.77903938293457;20.77903938293457
49;143.41166067123413;143.41166067123413;143.41166067123413;20.71578359603882;20.71578359603882;20.71578359603882;22.949683904647827;22.949683904647827;22.949683904647827
50;155.36040258407593;155.36040258407593;155.36040258407593;22.941450834274292;22.941450834274292;22.941450834274292;23.670626878738403;23.670626878738403;23.670626878738403
51;162.45264649391174;162.45264649391174;162.45264649391174;23.80597162246704;23.80597162246704;23.80597162246704;25.82897114753723;25.82897114753723;25.82897114753723
52;173.54415917396545;173.54415917396545;173.54415917396545;25.759570121765137;25.759570121765137;25.759570121765137;26.02415657043457;26.02415657043457;26.02415657043457
53;197.91679525375366;197.91679525375366;197.91679525375366;27.709351062774658;27.709351062774658;27.709351062774658;27.95629072189331;27.95629072189331;27.95629072189331
54;248.58886337280273;248.58886337280273;248.58886337280273;27.774599313735962;27.774599313735962;27.774599313735962;28.186004877090454;28.186004877090454;28.186004877090454
55;292.29004740715027;292.29004740715027;292.29004740715027;27.907816171646118;27.907816171646118;27.907816171646118;29.184969186782837;29.184969186782837;29.184969186782837
56;299.79538893699646;299.79538893699646;299.79538893699646;28.31005334854126;28.31005334854126;28.31005334854126;29.750993251800537;29.750993251800537;29.750993251800537
57;455.8323423862457;455.8323423862457;455.8323423862457;31.299440145492554;31.299440145492554;31.299440145492554;32.29943537712097;32.29943537712097;32.29943537712097
58;554.3715498447418;554.3715498447418;554.3715498447418;31.525105476379395;31.525105476379395;31.525105476379395;32.46374273300171;32.46374273300171;32.46374273300171
59;788.1266028881073;788.1266028881073;788.1266028881073;32.444220542907715;32.444220542907715;32.444220542907715;34.00934982299805;34.00934982299805;34.00934982299805
60;1311.3094158172607;1311.3094158172607;1311.3094158172607;34.1780846118927;34.1780846118927;34.1780846118927;34.5739164352417;34.5739164352417;34.5739164352417
61;1433.4535908699036;1433.4535908699036;1433.4535908699036;39.93663835525513;39.93663835525513;39.93663835525513;37.9644033908844;37.9644033908844;37.9644033908844
62;;;;43.639577865600586;43.639577865600586;43.639577865600586;45.686034202575684;45.686034202575684;45.686034202575684
