n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
11;877.6498515605927;877.6498515605927;877.6498515605927;197.91679525375366;197.91679525375366;197.91679525375366;300.26718401908875;300.26718401908875;300.26718401908875;16.01056933403015;16.01056933403015;16.01056933403015;3.198568105697632;3.198568105697632;3.198568105697632;3.8108909130096436;3.8108909130096436;3.8108909130096436
12;1319.3012199401855;1319.3012199401855;1319.3012199401855;248.58886337280273;248.58886337280273;248.58886337280273;428.6573052406311;428.6573052406311;428.6573052406311;17.481777906417847;17.481777906417847;17.481777906417847;3.711729049682617;3.711729049682617;3.711729049682617;4.200374364852905;4.200374364852905;4.200374364852905
13;;;;292.29004740715027;292.29004740715027;292.29004740715027;871.3053133487701;871.3053133487701;871.3053133487701;30.435271739959717;30.435271739959717;30.435271739959717;3.728604316711426;3.728604316711426;3.728604316711426;4.516379117965698;4.516379117965698;4.516379117965698
14;;;;554.3715498447418;554.3715498447418;554.3715498447418;1040.465175151825;1040.465175151825;1040.465175151825;37.40601205825806;37.40601205825806;37.40601205825806;4.847686529159546;4.847686529159546;4.847686529159546;4.716279983520508;4.716279983520508;4.716279983520508
15;;;;1311.3094158172607;1311.3094158172607;1311.3094158172607;1187.2745399475098;1187.2745399475098;1187.2745399475098;47.4275860786438;47.4275860786438;47.4275860786438;4.903221607208252;4.903221607208252;4.903221607208252;8.605183124542236;8.605183124542236;8.605183124542236
16;;;;1433.4535908699036;1433.4535908699036;1433.4535908699036;1208.5479717254639;1208.5479717254639;1208.5479717254639;51.352051734924316;51.352051734924316;51.352051734924316;7.530953407287598;7.530953407287598;7.530953407287598;12.294154405593872;12.294154405593872;12.294154405593872
17;;;;;;;1259.660579442978;1259.660579442978;1259.660579442978;60.096088886260986;60.096088886260986;60.096088886260986;12.220685482025146;12.220685482025146;12.220685482025146;16.54027271270752;16.54027271270752;16.54027271270752
18;;;;;;;1406.6142647266388;1406.6142647266388;1406.6142647266388;60.25276756286621;60.25276756286621;60.25276756286621;15.528366327285767;15.528366327285767;15.528366327285767;17.32126760482788;17.32126760482788;17.32126760482788
19;;;;;;;1475.5086421966553;1475.5086421966553;1475.5086421966553;64.08557724952698;64.08557724952698;64.08557724952698;15.811761379241943;15.811761379241943;15.811761379241943;26.02415657043457;26.02415657043457;26.02415657043457
20;;;;;;;;;;64.97881865501404;64.97881865501404;64.97881865501404;27.709351062774658;27.709351062774658;27.709351062774658;29.750993251800537;29.750993251800537;29.750993251800537
21;;;;;;;;;;65.42552495002747;65.42552495002747;65.42552495002747;31.525105476379395;31.525105476379395;31.525105476379395;32.29943537712097;32.29943537712097;32.29943537712097
22;;;;;;;;;;91.473153591156;91.473153591156;91.473153591156;32.444220542907715;32.444220542907715;32.444220542907715;34.00934982299805;34.00934982299805;34.00934982299805
23;;;;;;;;;;99.64679265022278;99.64679265022278;99.64679265022278;34.1780846118927;34.1780846118927;34.1780846118927;34.5739164352417;34.5739164352417;34.5739164352417
24;;;;;;;;;;240.73267245292664;240.73267245292664;240.73267245292664;51.26708960533142;51.26708960533142;51.26708960533142;46.3243293762207;46.3243293762207;46.3243293762207
25;;;;;;;;;;255.74289560317993;255.74289560317993;255.74289560317993;51.307175636291504;51.307175636291504;51.307175636291504;54.55537295341492;54.55537295341492;54.55537295341492
26;;;;;;;;;;634.2974512577057;634.2974512577057;634.2974512577057;120.61619734764099;120.61619734764099;120.61619734764099;119.04714965820312;119.04714965820312;119.04714965820312
27;;;;;;;;;;;;;126.30804967880249;126.30804967880249;126.30804967880249;125.93564033508301;125.93564033508301;125.93564033508301
28;;;;;;;;;;;;;186.26891350746155;186.26891350746155;186.26891350746155;153.45935201644897;153.45935201644897;153.45935201644897
29;;;;;;;;;;;;;192.6433880329132;192.6433880329132;192.6433880329132;209.80363702774048;209.80363702774048;209.80363702774048
30;;;;;;;;;;;;;193.24811363220215;193.24811363220215;193.24811363220215;210.48579907417297;210.48579907417297;210.48579907417297
31;;;;;;;;;;;;;232.8868658542633;232.8868658542633;232.8868658542633;236.51128005981445;236.51128005981445;236.51128005981445
32;;;;;;;;;;;;;406.83761405944824;406.83761405944824;406.83761405944824;307.41595363616943;307.41595363616943;307.41595363616943
33;;;;;;;;;;;;;1409.8088328838348;1409.8088328838348;1409.8088328838348;1408.3705487251282;1408.3705487251282;1408.3705487251282
34;;;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;;;;
