n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
21;358.29974699020386;358.29974699020386;358.29974699020386;96.99260330200195;96.99260330200195;96.99260330200195;47.48324942588806;47.48324942588806;47.48324942588806;36.72918152809143;36.72918152809143;36.72918152809143;6.631868124008179;6.631868124008179;6.631868124008179
22;522.0889558792114;522.0889558792114;522.0889558792114;104.70440745353699;104.70440745353699;104.70440745353699;64.76841044425964;64.76841044425964;64.76841044425964;45.865715742111206;45.865715742111206;45.865715742111206;6.691576242446899;6.691576242446899;6.691576242446899
23;829.2652363777161;829.2652363777161;829.2652363777161;136.16869854927063;136.16869854927063;136.16869854927063;65.2170786857605;65.2170786857605;65.2170786857605;51.19405913352966;51.19405913352966;51.19405913352966;8.605183124542236;8.605183124542236;8.605183124542236
24;877.6498515605927;877.6498515605927;877.6498515605927;173.54415917396545;173.54415917396545;173.54415917396545;65.2724494934082;65.2724494934082;65.2724494934082;57.177348613739014;57.177348613739014;57.177348613739014;8.822865724563599;8.822865724563599;8.822865724563599
25;1167.08739900589;1167.08739900589;1167.08739900589;188.08399486541748;188.08399486541748;188.08399486541748;67.28400444984436;67.28400444984436;67.28400444984436;72.52559161186218;72.52559161186218;72.52559161186218;14.526547908782959;14.526547908782959;14.526547908782959
26;1319.3012199401855;1319.3012199401855;1319.3012199401855;248.58886337280273;248.58886337280273;248.58886337280273;67.95242595672607;67.95242595672607;67.95242595672607;88.89722752571106;88.89722752571106;88.89722752571106;16.54027271270752;16.54027271270752;16.54027271270752
27;;;;287.81885743141174;287.81885743141174;287.81885743141174;91.5302300453186;91.5302300453186;91.5302300453186;114.9733829498291;114.9733829498291;114.9733829498291;17.32126760482788;17.32126760482788;17.32126760482788
28;;;;299.79538893699646;299.79538893699646;299.79538893699646;95.62473106384277;95.62473106384277;95.62473106384277;120.61619734764099;120.61619734764099;120.61619734764099;19.423076629638672;19.423076629638672;19.423076629638672
29;;;;554.3715498447418;554.3715498447418;554.3715498447418;97.43040728569031;97.43040728569031;97.43040728569031;126.30804967880249;126.30804967880249;126.30804967880249;20.77903938293457;20.77903938293457;20.77903938293457
30;;;;788.1266028881073;788.1266028881073;788.1266028881073;99.05307197570801;99.05307197570801;99.05307197570801;152.9982078075409;152.9982078075409;152.9982078075409;23.670626878738403;23.670626878738403;23.670626878738403
31;;;;;;;100.18391919136047;100.18391919136047;100.18391919136047;183.7072069644928;183.7072069644928;183.7072069644928;26.02415657043457;26.02415657043457;26.02415657043457
32;;;;;;;147.07581901550293;147.07581901550293;147.07581901550293;185.3034143447876;185.3034143447876;185.3034143447876;32.29943537712097;32.29943537712097;32.29943537712097
33;;;;;;;185.85908579826355;185.85908579826355;185.85908579826355;275.1262061595917;275.1262061595917;275.1262061595917;32.46374273300171;32.46374273300171;32.46374273300171
34;;;;;;;185.95202374458313;185.95202374458313;185.95202374458313;632.4046204090118;632.4046204090118;632.4046204090118;34.00934982299805;34.00934982299805;34.00934982299805
35;;;;;;;241.12155628204346;241.12155628204346;241.12155628204346;822.0869903564453;822.0869903564453;822.0869903564453;34.5739164352417;34.5739164352417;34.5739164352417
36;;;;;;;362.3100280761719;362.3100280761719;362.3100280761719;923.8035209178925;923.8035209178925;923.8035209178925;45.686034202575684;45.686034202575684;45.686034202575684
37;;;;;;;542.9152591228485;542.9152591228485;542.9152591228485;;;;53.05412244796753;53.05412244796753;53.05412244796753
38;;;;;;;628.9095811843872;628.9095811843872;628.9095811843872;;;;73.49217557907104;73.49217557907104;73.49217557907104
39;;;;;;;;;;;;;119.04714965820312;119.04714965820312;119.04714965820312
40;;;;;;;;;;;;;125.93564033508301;125.93564033508301;125.93564033508301
41;;;;;;;;;;;;;153.45935201644897;153.45935201644897;153.45935201644897
