n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
13;95.0761833190918;95.0761833190918;95.0761833190918;7.807526111602783;7.807526111602783;7.807526111602783;2.5337255001068115;2.5337255001068115;2.5337255001068115;2.985177755355835;2.985177755355835;2.985177755355835
14;129.5570089817047;129.5570089817047;129.5570089817047;7.948308229446411;7.948308229446411;7.948308229446411;2.7959890365600586;2.7959890365600586;2.7959890365600586;3.432474374771118;3.432474374771118;3.432474374771118
15;167.5735867023468;167.5735867023468;167.5735867023468;11.022732257843018;11.022732257843018;11.022732257843018;2.835864543914795;2.835864543914795;2.835864543914795;3.677351474761963;3.677351474761963;3.677351474761963
16;167.82634019851685;167.82634019851685;167.82634019851685;12.376911401748657;12.376911401748657;12.376911401748657;3.2890472412109375;3.2890472412109375;3.2890472412109375;3.724867343902588;3.724867343902588;3.724867343902588
17;177.15648555755615;177.15648555755615;177.15648555755615;14.484102010726929;14.484102010726929;14.484102010726929;3.6693572998046875;3.6693572998046875;3.6693572998046875;3.7315237522125244;3.7315237522125244;3.7315237522125244
18;178.9294502735138;178.9294502735138;178.9294502735138;14.642618894577026;14.642618894577026;14.642618894577026;3.711729049682617;3.711729049682617;3.711729049682617;3.8108909130096436;3.8108909130096436;3.8108909130096436
19;231.74307131767273;231.74307131767273;231.74307131767273;15.878494501113892;15.878494501113892;15.878494501113892;3.728604316711426;3.728604316711426;3.728604316711426;4.516379117965698;4.516379117965698;4.516379117965698
20;237.59037852287292;237.59037852287292;237.59037852287292;17.623847723007202;17.623847723007202;17.623847723007202;4.56065821647644;4.56065821647644;4.56065821647644;4.885735034942627;4.885735034942627;4.885735034942627
21;245.76520991325378;245.76520991325378;245.76520991325378;24.88311743736267;24.88311743736267;24.88311743736267;4.903221607208252;4.903221607208252;4.903221607208252;5.794644594192505;5.794644594192505;5.794644594192505
22;327.57287073135376;327.57287073135376;327.57287073135376;30.964380502700806;30.964380502700806;30.964380502700806;5.371433973312378;5.371433973312378;5.371433973312378;6.063857316970825;6.063857316970825;6.063857316970825
23;355.84288477897644;355.84288477897644;355.84288477897644;31.035571575164795;31.035571575164795;31.035571575164795;5.663889408111572;5.663889408111572;5.663889408111572;6.330239295959473;6.330239295959473;6.330239295959473
24;358.29974699020386;358.29974699020386;358.29974699020386;37.32885766029358;37.32885766029358;37.32885766029358;5.711490869522095;5.711490869522095;5.711490869522095;6.631868124008179;6.631868124008179;6.631868124008179
25;522.0889558792114;522.0889558792114;522.0889558792114;46.398547887802124;46.398547887802124;46.398547887802124;5.978857517242432;5.978857517242432;5.978857517242432;6.691576242446899;6.691576242446899;6.691576242446899
26;829.2652363777161;829.2652363777161;829.2652363777161;51.47614073753357;51.47614073753357;51.47614073753357;6.0522401332855225;6.0522401332855225;6.0522401332855225;7.005172967910767;7.005172967910767;7.005172967910767
27;877.6498515605927;877.6498515605927;877.6498515605927;81.24693274497986;81.24693274497986;81.24693274497986;6.312912464141846;6.312912464141846;6.312912464141846;8.605183124542236;8.605183124542236;8.605183124542236
28;1167.08739900589;1167.08739900589;1167.08739900589;82.08800458908081;82.08800458908081;82.08800458908081;7.530953407287598;7.530953407287598;7.530953407287598;8.822865724563599;8.822865724563599;8.822865724563599
29;1319.3012199401855;1319.3012199401855;1319.3012199401855;96.99260330200195;96.99260330200195;96.99260330200195;7.942528247833252;7.942528247833252;7.942528247833252;8.883005619049072;8.883005619049072;8.883005619049072
30;;;;104.70440745353699;104.70440745353699;104.70440745353699;8.989420175552368;8.989420175552368;8.989420175552368;14.526547908782959;14.526547908782959;14.526547908782959
31;;;;136.16869854927063;136.16869854927063;136.16869854927063;13.464123487472534;13.464123487472534;13.464123487472534;16.54027271270752;16.54027271270752;16.54027271270752
