n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
21;245.76520991325378;245.76520991325378;245.76520991325378;30.964380502700806;30.964380502700806;30.964380502700806;24.570918560028076;24.570918560028076;24.570918560028076;5.794644594192505;5.794644594192505;5.794644594192505
22;327.57287073135376;327.57287073135376;327.57287073135376;31.035571575164795;31.035571575164795;31.035571575164795;32.444220542907715;32.444220542907715;32.444220542907715;6.063857316970825;6.063857316970825;6.063857316970825
23;355.84288477897644;355.84288477897644;355.84288477897644;31.335333108901978;31.335333108901978;31.335333108901978;34.1780846118927;34.1780846118927;34.1780846118927;6.330239295959473;6.330239295959473;6.330239295959473
24;358.29974699020386;358.29974699020386;358.29974699020386;37.32885766029358;37.32885766029358;37.32885766029358;36.72918152809143;36.72918152809143;36.72918152809143;6.631868124008179;6.631868124008179;6.631868124008179
25;522.0889558792114;522.0889558792114;522.0889558792114;46.398547887802124;46.398547887802124;46.398547887802124;39.51769757270813;39.51769757270813;39.51769757270813;6.691576242446899;6.691576242446899;6.691576242446899
26;829.2652363777161;829.2652363777161;829.2652363777161;51.47614073753357;51.47614073753357;51.47614073753357;45.865715742111206;45.865715742111206;45.865715742111206;7.005172967910767;7.005172967910767;7.005172967910767
27;877.6498515605927;877.6498515605927;877.6498515605927;81.24693274497986;81.24693274497986;81.24693274497986;51.19405913352966;51.19405913352966;51.19405913352966;8.605183124542236;8.605183124542236;8.605183124542236
28;1167.08739900589;1167.08739900589;1167.08739900589;82.08800458908081;82.08800458908081;82.08800458908081;57.177348613739014;57.177348613739014;57.177348613739014;8.822865724563599;8.822865724563599;8.822865724563599
29;1319.3012199401855;1319.3012199401855;1319.3012199401855;96.99260330200195;96.99260330200195;96.99260330200195;57.92487025260925;57.92487025260925;57.92487025260925;8.883005619049072;8.883005619049072;8.883005619049072
30;;;;104.70440745353699;104.70440745353699;104.70440745353699;58.92658519744873;58.92658519744873;58.92658519744873;14.526547908782959;14.526547908782959;14.526547908782959
31;;;;136.16869854927063;136.16869854927063;136.16869854927063;72.52559161186218;72.52559161186218;72.52559161186218;16.54027271270752;16.54027271270752;16.54027271270752
32;;;;173.54415917396545;173.54415917396545;173.54415917396545;88.89722752571106;88.89722752571106;88.89722752571106;17.32126760482788;17.32126760482788;17.32126760482788
33;;;;188.08399486541748;188.08399486541748;188.08399486541748;114.9733829498291;114.9733829498291;114.9733829498291;19.423076629638672;19.423076629638672;19.423076629638672
34;;;;248.58886337280273;248.58886337280273;248.58886337280273;120.61619734764099;120.61619734764099;120.61619734764099;20.77903938293457;20.77903938293457;20.77903938293457
35;;;;287.81885743141174;287.81885743141174;287.81885743141174;126.30804967880249;126.30804967880249;126.30804967880249;22.949683904647827;22.949683904647827;22.949683904647827
36;;;;299.79538893699646;299.79538893699646;299.79538893699646;152.9982078075409;152.9982078075409;152.9982078075409;23.670626878738403;23.670626878738403;23.670626878738403
37;;;;401.94560527801514;401.94560527801514;401.94560527801514;157.68322658538818;157.68322658538818;157.68322658538818;26.02415657043457;26.02415657043457;26.02415657043457
38;;;;554.3715498447418;554.3715498447418;554.3715498447418;183.7072069644928;183.7072069644928;183.7072069644928;29.184969186782837;29.184969186782837;29.184969186782837
39;;;;788.1266028881073;788.1266028881073;788.1266028881073;185.3034143447876;185.3034143447876;185.3034143447876;32.29943537712097;32.29943537712097;32.29943537712097
40;;;;1796.9028866291046;1796.9028866291046;1796.9028866291046;186.30844974517822;186.30844974517822;186.30844974517822;32.46374273300171;32.46374273300171;32.46374273300171
41;;;;;;;275.1262061595917;275.1262061595917;275.1262061595917;34.00934982299805;34.00934982299805;34.00934982299805
42;;;;;;;632.4046204090118;632.4046204090118;632.4046204090118;34.5739164352417;34.5739164352417;34.5739164352417
43;;;;;;;822.0869903564453;822.0869903564453;822.0869903564453;45.686034202575684;45.686034202575684;45.686034202575684
44;;;;;;;923.8035209178925;923.8035209178925;923.8035209178925;46.3243293762207;46.3243293762207;46.3243293762207
45;;;;;;;;;;53.05412244796753;53.05412244796753;53.05412244796753
46;;;;;;;;;;58.6887629032135;58.6887629032135;58.6887629032135
47;;;;;;;;;;73.49217557907104;73.49217557907104;73.49217557907104
48;;;;;;;;;;119.04714965820312;119.04714965820312;119.04714965820312
49;;;;;;;;;;125.93564033508301;125.93564033508301;125.93564033508301
50;;;;;;;;;;153.45935201644897;153.45935201644897;153.45935201644897
51;;;;;;;;;;1408.3705487251282;1408.3705487251282;1408.3705487251282
52;;;;;;;;;;;;
53;;;;;;;;;;;;
54;;;;;;;;;;;;
55;;;;;;;;;;;;
56;;;;;;;;;;;;
