n;mcsta;mcstascaled;mcstashifted;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted
41;375.53850173950195;375.53850173950195;375.53850173950195;45.649383306503296;45.649383306503296;45.649383306503296;;;
42;387.5285198688507;387.5285198688507;387.5285198688507;57.142983198165894;57.142983198165894;57.142983198165894;;;
43;419.83459639549255;419.83459639549255;419.83459639549255;59.86336040496826;59.86336040496826;59.86336040496826;;;
44;759.285932302475;759.285932302475;759.285932302475;72.00539875030518;72.00539875030518;72.00539875030518;;;
45;952.2527830600739;952.2527830600739;952.2527830600739;1389.020504951477;1389.020504951477;1389.020504951477;;;
46;1101.9689211845398;1101.9689211845398;1101.9689211845398;;;;;;
47;1628.8800954818726;1628.8800954818726;1628.8800954818726;;;;;;
48;;;;;;;;;
49;;;;;;;;;
50;;;;;;;;;
51;;;;;;;;;
52;;;;;;;;;
53;;;;;;;;;
54;;;;;;;;;
55;;;;;;;;;
56;;;;;;;;;
57;;;;;;;;;
58;;;;;;;;;
59;;;;;;;;;
60;;;;;;;;;
61;;;;;;;;;
62;;;;;;;;;
63;;;;;;;;;
64;;;;;;;;;
65;;;;;;;;;
66;;;;;;;;;
67;;;;;;;;;
