n;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;mcsta;mcstascaled;mcstashifted
20;5.840109348297119;5.840109348297119;5.840109348297119;38.82311010360718;38.82311010360718;38.82311010360718;22.28098726272583;22.28098726272583;22.28098726272583
21;5.9681556224823;5.9681556224823;5.9681556224823;45.793503522872925;45.793503522872925;45.793503522872925;25.009660720825195;25.009660720825195;25.009660720825195
22;6.182638168334961;6.182638168334961;6.182638168334961;50.94161510467529;50.94161510467529;50.94161510467529;28.12315845489502;28.12315845489502;28.12315845489502
23;6.9316794872283936;6.9316794872283936;6.9316794872283936;56.54443359375;56.54443359375;56.54443359375;28.93529224395752;28.93529224395752;28.93529224395752
24;6.977262020111084;6.977262020111084;6.977262020111084;57.60802936553955;57.60802936553955;57.60802936553955;31.09599471092224;31.09599471092224;31.09599471092224
25;8.527657985687256;8.527657985687256;8.527657985687256;59.88052248954773;59.88052248954773;59.88052248954773;31.653822660446167;31.653822660446167;31.653822660446167
26;8.91723370552063;8.91723370552063;8.91723370552063;61.870182275772095;61.870182275772095;61.870182275772095;44.12491154670715;44.12491154670715;44.12491154670715
27;9.272659063339233;9.272659063339233;9.272659063339233;65.17207717895508;65.17207717895508;65.17207717895508;44.932929277420044;44.932929277420044;44.932929277420044
28;9.737785339355469;9.737785339355469;9.737785339355469;91.3632869720459;91.3632869720459;91.3632869720459;45.77377796173096;45.77377796173096;45.77377796173096
29;10.407439708709717;10.407439708709717;10.407439708709717;117.70915150642395;117.70915150642395;117.70915150642395;52.10481858253479;52.10481858253479;52.10481858253479
30;12.610655546188354;12.610655546188354;12.610655546188354;157.99568390846252;157.99568390846252;157.99568390846252;59.76944828033447;59.76944828033447;59.76944828033447
31;13.434968948364258;13.434968948364258;13.434968948364258;162.3375163078308;162.3375163078308;162.3375163078308;104.52406144142151;104.52406144142151;104.52406144142151
32;16.53235912322998;16.53235912322998;16.53235912322998;187.50555801391602;187.50555801391602;187.50555801391602;132.88539385795593;132.88539385795593;132.88539385795593
33;19.410677671432495;19.410677671432495;19.410677671432495;192.95502257347107;192.95502257347107;192.95502257347107;159.04154920578003;159.04154920578003;159.04154920578003
34;22.943785429000854;22.943785429000854;22.943785429000854;273.24077248573303;273.24077248573303;273.24077248573303;170.64026975631714;170.64026975631714;170.64026975631714
35;26.025044202804565;26.025044202804565;26.025044202804565;274.65901041030884;274.65901041030884;274.65901041030884;173.48348712921143;173.48348712921143;173.48348712921143
36;27.43579864501953;27.43579864501953;27.43579864501953;534.0406477451324;534.0406477451324;534.0406477451324;183.95032668113708;183.95032668113708;183.95032668113708
37;31.598219633102417;31.598219633102417;31.598219633102417;626.6586534976959;626.6586534976959;626.6586534976959;212.11378288269043;212.11378288269043;212.11378288269043
38;31.746829986572266;31.746829986572266;31.746829986572266;822.0309743881226;822.0309743881226;822.0309743881226;212.87614274024963;212.87614274024963;212.87614274024963
39;32.44777822494507;32.44777822494507;32.44777822494507;911.4347832202911;911.4347832202911;911.4347832202911;290.8097138404846;290.8097138404846;290.8097138404846
40;34.5156352519989;34.5156352519989;34.5156352519989;;;;291.33624744415283;291.33624744415283;291.33624744415283
41;40.66728639602661;40.66728639602661;40.66728639602661;;;;295.1395661830902;295.1395661830902;295.1395661830902
42;45.23035383224487;45.23035383224487;45.23035383224487;;;;342.58429980278015;342.58429980278015;342.58429980278015
43;45.649383306503296;45.649383306503296;45.649383306503296;;;;466.24207401275635;466.24207401275635;466.24207401275635
