n;mcsta;mcstascaled;mcstashifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
19;34.8837206363678;34.8837206363678;34.8837206363678;57.077486753463745;57.077486753463745;57.077486753463745;5.677488803863525;5.677488803863525;5.677488803863525;6.02581000328064;6.02581000328064;6.02581000328064
20;38.592076778411865;38.592076778411865;38.592076778411865;58.6254403591156;58.6254403591156;58.6254403591156;5.8338963985443115;5.8338963985443115;5.8338963985443115;6.436121940612793;6.436121940612793;6.436121940612793
21;52.1372435092926;52.1372435092926;52.1372435092926;65.2795238494873;65.2795238494873;65.2795238494873;5.943589210510254;5.943589210510254;5.943589210510254;6.627501726150513;6.627501726150513;6.627501726150513
22;94.67513275146484;94.67513275146484;94.67513275146484;65.35194230079651;65.35194230079651;65.35194230079651;6.329901933670044;6.329901933670044;6.329901933670044;7.224566459655762;7.224566459655762;7.224566459655762
23;102.39689588546753;102.39689588546753;102.39689588546753;65.6035807132721;65.6035807132721;65.6035807132721;6.496020555496216;6.496020555496216;6.496020555496216;7.998741626739502;7.998741626739502;7.998741626739502
24;107.16213178634644;107.16213178634644;107.16213178634644;67.59494757652283;67.59494757652283;67.59494757652283;7.807588577270508;7.807588577270508;7.807588577270508;8.706298112869263;8.706298112869263;8.706298112869263
25;133.58866024017334;133.58866024017334;133.58866024017334;91.71955871582031;91.71955871582031;91.71955871582031;7.993322134017944;7.993322134017944;7.993322134017944;8.911469221115112;8.911469221115112;8.911469221115112
26;153.74606847763062;153.74606847763062;153.74606847763062;97.7777988910675;97.7777988910675;97.7777988910675;8.030089139938354;8.030089139938354;8.030089139938354;12.665531635284424;12.665531635284424;12.665531635284424
27;173.04456162452698;173.04456162452698;173.04456162452698;99.43871903419495;99.43871903419495;99.43871903419495;11.688782453536987;11.688782453536987;11.688782453536987;16.46184253692627;16.46184253692627;16.46184253692627
28;198.3799090385437;198.3799090385437;198.3799090385437;99.81274127960205;99.81274127960205;99.81274127960205;15.687709331512451;15.687709331512451;15.687709331512451;19.402340412139893;19.402340412139893;19.402340412139893
29;275.48971247673035;275.48971247673035;275.48971247673035;119.92536211013794;119.92536211013794;119.92536211013794;18.447880029678345;18.447880029678345;18.447880029678345;23.079660415649414;23.079660415649414;23.079660415649414
30;289.9911563396454;289.9911563396454;289.9911563396454;121.40709328651428;121.40709328651428;121.40709328651428;22.844069957733154;22.844069957733154;22.844069957733154;25.882107973098755;25.882107973098755;25.882107973098755
31;293.5284035205841;293.5284035205841;293.5284035205841;145.0431888103485;145.0431888103485;145.0431888103485;25.6209614276886;25.6209614276886;25.6209614276886;26.065330743789673;26.065330743789673;26.065330743789673
32;732.2853336334229;732.2853336334229;732.2853336334229;166.73553204536438;166.73553204536438;166.73553204536438;31.325125694274902;31.325125694274902;31.325125694274902;32.043384075164795;32.043384075164795;32.043384075164795
33;788.7622807025909;788.7622807025909;788.7622807025909;220.8152859210968;220.8152859210968;220.8152859210968;33.888845682144165;33.888845682144165;33.888845682144165;36.33254337310791;36.33254337310791;36.33254337310791
34;1412.378526210785;1412.378526210785;1412.378526210785;241.09447407722473;241.09447407722473;241.09447407722473;38.20512366294861;38.20512366294861;38.20512366294861;38.426015853881836;38.426015853881836;38.426015853881836
35;;;;310.6887845993042;310.6887845993042;310.6887845993042;38.42928433418274;38.42928433418274;38.42928433418274;40.40433216094971;40.40433216094971;40.40433216094971
36;;;;436.67204427719116;436.67204427719116;436.67204427719116;42.30743622779846;42.30743622779846;42.30743622779846;45.16190147399902;45.16190147399902;45.16190147399902
37;;;;635.9573822021484;635.9573822021484;635.9573822021484;43.855814933776855;43.855814933776855;43.855814933776855;45.967488288879395;45.967488288879395;45.967488288879395
38;;;;984.3808348178864;984.3808348178864;984.3808348178864;65.05634808540344;65.05634808540344;65.05634808540344;65.37557935714722;65.37557935714722;65.37557935714722
39;;;;;;;72.56280946731567;72.56280946731567;72.56280946731567;73.31355834007263;73.31355834007263;73.31355834007263
40;;;;;;;175.18121123313904;175.18121123313904;175.18121123313904;174.51093459129333;174.51093459129333;174.51093459129333
41;;;;;;;251.73936486244202;251.73936486244202;251.73936486244202;252.2085886001587;252.2085886001587;252.2085886001587
42;;;;;;;581.1152684688568;581.1152684688568;581.1152684688568;457.11889815330505;457.11889815330505;457.11889815330505
43;;;;;;;;;;;;
