n;mcsta;mcstascaled;mcstashifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
46;94.67513275146484;94.67513275146484;94.67513275146484;;;;635.9573822021484;635.9573822021484;635.9573822021484;11.688782453536987;11.688782453536987;11.688782453536987;13.677701711654663;13.677701711654663;13.677701711654663
47;102.39689588546753;102.39689588546753;102.39689588546753;;;;984.3808348178864;984.3808348178864;984.3808348178864;12.24734902381897;12.24734902381897;12.24734902381897;16.46184253692627;16.46184253692627;16.46184253692627
48;107.16213178634644;107.16213178634644;107.16213178634644;;;;;;;12.527331113815308;12.527331113815308;12.527331113815308;19.402340412139893;19.402340412139893;19.402340412139893
49;133.58866024017334;133.58866024017334;133.58866024017334;;;;;;;15.687709331512451;15.687709331512451;15.687709331512451;20.536865949630737;20.536865949630737;20.536865949630737
50;143.44368028640747;143.44368028640747;143.44368028640747;;;;;;;18.447880029678345;18.447880029678345;18.447880029678345;23.03896689414978;23.03896689414978;23.03896689414978
51;153.74606847763062;153.74606847763062;153.74606847763062;;;;;;;20.36836266517639;20.36836266517639;20.36836266517639;23.079660415649414;23.079660415649414;23.079660415649414
52;163.4789719581604;163.4789719581604;163.4789719581604;;;;;;;22.844069957733154;22.844069957733154;22.844069957733154;24.895341396331787;24.895341396331787;24.895341396331787
53;171.73880887031555;171.73880887031555;171.73880887031555;;;;;;;22.974798679351807;22.974798679351807;22.974798679351807;25.882107973098755;25.882107973098755;25.882107973098755
54;173.04456162452698;173.04456162452698;173.04456162452698;;;;;;;25.23244547843933;25.23244547843933;25.23244547843933;26.065330743789673;26.065330743789673;26.065330743789673
55;198.3799090385437;198.3799090385437;198.3799090385437;;;;;;;25.6209614276886;25.6209614276886;25.6209614276886;27.646175146102905;27.646175146102905;27.646175146102905
56;232.88129138946533;232.88129138946533;232.88129138946533;;;;;;;27.652034997940063;27.652034997940063;27.652034997940063;30.340906143188477;30.340906143188477;30.340906143188477
57;246.28502535820007;246.28502535820007;246.28502535820007;;;;;;;31.325125694274902;31.325125694274902;31.325125694274902;32.043384075164795;32.043384075164795;32.043384075164795
58;275.48971247673035;275.48971247673035;275.48971247673035;;;;;;;32.35802984237671;32.35802984237671;32.35802984237671;34.423086404800415;34.423086404800415;34.423086404800415
59;289.9911563396454;289.9911563396454;289.9911563396454;;;;;;;33.888845682144165;33.888845682144165;33.888845682144165;36.33254337310791;36.33254337310791;36.33254337310791
60;293.5284035205841;293.5284035205841;293.5284035205841;;;;;;;36.45587134361267;36.45587134361267;36.45587134361267;38.426015853881836;38.426015853881836;38.426015853881836
61;468.30952548980713;468.30952548980713;468.30952548980713;;;;;;;38.20512366294861;38.20512366294861;38.20512366294861;40.40433216094971;40.40433216094971;40.40433216094971
62;476.87606835365295;476.87606835365295;476.87606835365295;;;;;;;38.42928433418274;38.42928433418274;38.42928433418274;41.2624671459198;41.2624671459198;41.2624671459198
63;732.2853336334229;732.2853336334229;732.2853336334229;;;;;;;39.009491205215454;39.009491205215454;39.009491205215454;45.16190147399902;45.16190147399902;45.16190147399902
