n;mcsta;mcstascaled;mcstashifted;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;PRISM;PRISMscaled;PRISMshifted
21;55.676513671875;55.676513671875;55.676513671875;6.627501726150513;6.627501726150513;6.627501726150513;5.943589210510254;5.943589210510254;5.943589210510254;65.2795238494873;65.2795238494873;65.2795238494873
22;96.33137559890747;96.33137559890747;96.33137559890747;7.224566459655762;7.224566459655762;7.224566459655762;6.329901933670044;6.329901933670044;6.329901933670044;65.35194230079651;65.35194230079651;65.35194230079651
23;132.923814535141;132.923814535141;132.923814535141;7.998741626739502;7.998741626739502;7.998741626739502;6.496020555496216;6.496020555496216;6.496020555496216;67.59494757652283;67.59494757652283;67.59494757652283
24;138.73695349693298;138.73695349693298;138.73695349693298;8.706298112869263;8.706298112869263;8.706298112869263;7.807588577270508;7.807588577270508;7.807588577270508;99.43871903419495;99.43871903419495;99.43871903419495
25;147.67929077148438;147.67929077148438;147.67929077148438;8.911469221115112;8.911469221115112;8.911469221115112;7.993322134017944;7.993322134017944;7.993322134017944;99.81274127960205;99.81274127960205;99.81274127960205
26;159.53150057792664;159.53150057792664;159.53150057792664;12.665531635284424;12.665531635284424;12.665531635284424;8.030089139938354;8.030089139938354;8.030089139938354;119.92536211013794;119.92536211013794;119.92536211013794
27;173.34875321388245;173.34875321388245;173.34875321388245;16.46184253692627;16.46184253692627;16.46184253692627;11.688782453536987;11.688782453536987;11.688782453536987;121.40709328651428;121.40709328651428;121.40709328651428
28;199.16027784347534;199.16027784347534;199.16027784347534;19.402340412139893;19.402340412139893;19.402340412139893;15.687709331512451;15.687709331512451;15.687709331512451;145.0431888103485;145.0431888103485;145.0431888103485
29;297.0567445755005;297.0567445755005;297.0567445755005;23.079660415649414;23.079660415649414;23.079660415649414;18.447880029678345;18.447880029678345;18.447880029678345;166.73553204536438;166.73553204536438;166.73553204536438
30;303.2179410457611;303.2179410457611;303.2179410457611;25.882107973098755;25.882107973098755;25.882107973098755;22.844069957733154;22.844069957733154;22.844069957733154;220.8152859210968;220.8152859210968;220.8152859210968
31;326.94050574302673;326.94050574302673;326.94050574302673;26.065330743789673;26.065330743789673;26.065330743789673;25.6209614276886;25.6209614276886;25.6209614276886;310.6887845993042;310.6887845993042;310.6887845993042
32;1427.729820728302;1427.729820728302;1427.729820728302;32.043384075164795;32.043384075164795;32.043384075164795;31.325125694274902;31.325125694274902;31.325125694274902;436.67204427719116;436.67204427719116;436.67204427719116
