n;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;PRISM;PRISMscaled;PRISMshifted;mcsta;mcstascaled;mcstashifted;PRISM-TUM;PRISM-TUMscaled;PRISM-TUMshifted
18;2.5018160343170166;2.5018160343170166;2.5018160343170166;9.037866592407227;9.037866592407227;9.037866592407227;51.74032163619995;51.74032163619995;51.74032163619995;7.716775894165039;7.716775894165039;7.716775894165039;;;
19;2.6328952312469482;2.6328952312469482;2.6328952312469482;9.348163366317749;9.348163366317749;9.348163366317749;53.79197669029236;53.79197669029236;53.79197669029236;9.742437362670898;9.742437362670898;9.742437362670898;;;
20;2.752821207046509;2.752821207046509;2.752821207046509;9.499298095703125;9.499298095703125;9.499298095703125;54.00314116477966;54.00314116477966;54.00314116477966;13.372882604598999;13.372882604598999;13.372882604598999;;;
21;2.7680435180664062;2.7680435180664062;2.7680435180664062;10.094582796096802;10.094582796096802;10.094582796096802;56.15145516395569;56.15145516395569;56.15145516395569;13.540799140930176;13.540799140930176;13.540799140930176;;;
22;2.9710896015167236;2.9710896015167236;2.9710896015167236;10.283540487289429;10.283540487289429;10.283540487289429;58.00962686538696;58.00962686538696;58.00962686538696;14.378597259521484;14.378597259521484;14.378597259521484;;;
23;3.4181132316589355;3.4181132316589355;3.4181132316589355;12.812387466430664;12.812387466430664;12.812387466430664;58.63333249092102;58.63333249092102;58.63333249092102;15.006984233856201;15.006984233856201;15.006984233856201;;;
24;3.7900478839874268;3.7900478839874268;3.7900478839874268;14.79653263092041;14.79653263092041;14.79653263092041;60.594013929367065;60.594013929367065;60.594013929367065;15.103620767593384;15.103620767593384;15.103620767593384;;;
25;3.8154256343841553;3.8154256343841553;3.8154256343841553;15.401335954666138;15.401335954666138;15.401335954666138;65.42909288406372;65.42909288406372;65.42909288406372;16.4165301322937;16.4165301322937;16.4165301322937;;;
26;3.902383804321289;3.902383804321289;3.902383804321289;15.47986888885498;15.47986888885498;15.47986888885498;65.6973922252655;65.6973922252655;65.6973922252655;17.554176330566406;17.554176330566406;17.554176330566406;;;
27;4.2475574016571045;4.2475574016571045;4.2475574016571045;16.778549194335938;16.778549194335938;16.778549194335938;67.62052202224731;67.62052202224731;67.62052202224731;17.638596296310425;17.638596296310425;17.638596296310425;;;
28;4.490706443786621;4.490706443786621;4.490706443786621;16.839864492416382;16.839864492416382;16.839864492416382;85.91794991493225;85.91794991493225;85.91794991493225;18.377565145492554;18.377565145492554;18.377565145492554;;;
