n;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted
23;15.006984233856201;15.006984233856201;15.006984233856201;2.765669584274292;2.765669584274292;2.765669584274292
24;15.103620767593384;15.103620767593384;15.103620767593384;2.7979609966278076;2.7979609966278076;2.7979609966278076
25;16.4165301322937;16.4165301322937;16.4165301322937;3.2893946170806885;3.2893946170806885;3.2893946170806885
26;17.554176330566406;17.554176330566406;17.554176330566406;3.6952710151672363;3.6952710151672363;3.6952710151672363
27;17.638596296310425;17.638596296310425;17.638596296310425;4.208723306655884;4.208723306655884;4.208723306655884
28;18.242122888565063;18.242122888565063;18.242122888565063;4.401174306869507;4.401174306869507;4.401174306869507
29;20.523709535598755;20.523709535598755;20.523709535598755;4.480809926986694;4.480809926986694;4.480809926986694
30;21.660690784454346;21.660690784454346;21.660690784454346;4.837682008743286;4.837682008743286;4.837682008743286
31;24.83673930168152;24.83673930168152;24.83673930168152;5.677488803863525;5.677488803863525;5.677488803863525
32;24.932472705841064;24.932472705841064;24.932472705841064;5.8338963985443115;5.8338963985443115;5.8338963985443115
33;26.42363739013672;26.42363739013672;26.42363739013672;5.943589210510254;5.943589210510254;5.943589210510254
34;29.406187295913696;29.406187295913696;29.406187295913696;6.329901933670044;6.329901933670044;6.329901933670044
35;30.969996690750122;30.969996690750122;30.969996690750122;6.496020555496216;6.496020555496216;6.496020555496216
36;31.393735647201538;31.393735647201538;31.393735647201538;7.033733606338501;7.033733606338501;7.033733606338501
37;31.547567129135132;31.547567129135132;31.547567129135132;7.807588577270508;7.807588577270508;7.807588577270508
38;32.12148833274841;32.12148833274841;32.12148833274841;7.993322134017944;7.993322134017944;7.993322134017944
39;34.8837206363678;34.8837206363678;34.8837206363678;8.030089139938354;8.030089139938354;8.030089139938354
40;38.592076778411865;38.592076778411865;38.592076778411865;8.17256760597229;8.17256760597229;8.17256760597229
41;46.59911608695984;46.59911608695984;46.59911608695984;9.037866592407227;9.037866592407227;9.037866592407227
42;52.1372435092926;52.1372435092926;52.1372435092926;9.348163366317749;9.348163366317749;9.348163366317749
43;63.02658224105835;63.02658224105835;63.02658224105835;9.499298095703125;9.499298095703125;9.499298095703125
44;84.2539849281311;84.2539849281311;84.2539849281311;11.688782453536987;11.688782453536987;11.688782453536987
45;94.67513275146484;94.67513275146484;94.67513275146484;15.687709331512451;15.687709331512451;15.687709331512451
46;102.39689588546753;102.39689588546753;102.39689588546753;18.447880029678345;18.447880029678345;18.447880029678345
47;107.16213178634644;107.16213178634644;107.16213178634644;20.36836266517639;20.36836266517639;20.36836266517639
48;133.58866024017334;133.58866024017334;133.58866024017334;22.844069957733154;22.844069957733154;22.844069957733154
49;143.44368028640747;143.44368028640747;143.44368028640747;22.974798679351807;22.974798679351807;22.974798679351807
50;153.74606847763062;153.74606847763062;153.74606847763062;25.23244547843933;25.23244547843933;25.23244547843933
51;163.4789719581604;163.4789719581604;163.4789719581604;25.6209614276886;25.6209614276886;25.6209614276886
52;171.73880887031555;171.73880887031555;171.73880887031555;27.652034997940063;27.652034997940063;27.652034997940063
53;173.04456162452698;173.04456162452698;173.04456162452698;31.325125694274902;31.325125694274902;31.325125694274902
54;198.3799090385437;198.3799090385437;198.3799090385437;32.35802984237671;32.35802984237671;32.35802984237671
55;232.88129138946533;232.88129138946533;232.88129138946533;33.888845682144165;33.888845682144165;33.888845682144165
56;246.28502535820007;246.28502535820007;246.28502535820007;36.45587134361267;36.45587134361267;36.45587134361267
57;275.48971247673035;275.48971247673035;275.48971247673035;38.20512366294861;38.20512366294861;38.20512366294861
58;289.9911563396454;289.9911563396454;289.9911563396454;38.42928433418274;38.42928433418274;38.42928433418274
59;293.5284035205841;293.5284035205841;293.5284035205841;39.009491205215454;39.009491205215454;39.009491205215454
60;476.87606835365295;476.87606835365295;476.87606835365295;42.30743622779846;42.30743622779846;42.30743622779846
61;732.2853336334229;732.2853336334229;732.2853336334229;43.855814933776855;43.855814933776855;43.855814933776855
62;788.7622807025909;788.7622807025909;788.7622807025909;48.22420382499695;48.22420382499695;48.22420382499695
